list-card-addr,list-card-price,json_data,list-card-details,list-card-label 2,list-card-variable-text,list-card-link href 2,list-card-link src,json_data,list-card-extra-info,list-card-details 2,list-card-details 3,list-card-label 3,list-card-statusText,j
"1142 Manhattan Ave #2L, Brooklyn, NY 11222","$2,599/mo",bds,2,ba,2 days ago,https://www.zillow.com/homedetails/1142-Manhattan-Ave-2L-Brooklyn-NY-11222/2072853443_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1142 Manhattan Ave #2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1142 Manhattan Ave #2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.737455,""longitude"":-73.955291},""url"":""https://www.zillow.com/homedetails/1142-Manhattan-Ave-2L-Brooklyn-NY-11222/2072853443_zpid/""}",LISTING BY: COMPASS (917-750-6811),1,"1,000",sqft,#NAME?,Save this home
"214 Driggs Ave #2R, Brooklyn, NY 11222","$2,200/mo",bd,1,ba,2 days ago,https://www.zillow.com/homedetails/214-Driggs-Ave-2R-Brooklyn-NY-11222/2077795922_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""214 Driggs Ave #2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""850""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""214 Driggs Ave #2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722979,""longitude"":-73.946779},""url"":""https://www.zillow.com/homedetails/214-Driggs-Ave-2R-Brooklyn-NY-11222/2077795922_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,850,sqft,#NAME?,Save this home
"137 Mcguinness Blvd #2L, Brooklyn, NY 11222","$1,999/mo",bd,1,ba,2 days ago,https://www.zillow.com/homedetails/137-Mcguinness-Blvd-2L-Brooklyn-NY-11222/2072868923_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""137 Mcguinness Blvd #2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""137 Mcguinness Blvd #2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726991,""longitude"":-73.949903},""url"":""https://www.zillow.com/homedetails/137-Mcguinness-Blvd-2L-Brooklyn-NY-11222/2072868923_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,--,sqft,#NAME?,Save this home
"70 Box St APT 2L, Brooklyn, NY 11222","$1,950/mo",bds,2,ba,3 days ago,https://www.zillow.com/homedetails/70-Box-St-APT-2L-Brooklyn-NY-11222/2092230965_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""70 Box St Apt 2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""70 Box St APT 2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.737232,""longitude"":-73.953672},""url"":""https://www.zillow.com/homedetails/70-Box-St-APT-2L-Brooklyn-NY-11222/2092230965_zpid/""}",LISTING BY: MPGL REALTY CORP,1,"1,000",sqft,#NAME?,Save this home
"107 Dupont St #3F, Brooklyn, NY 11222","$3,100/mo",bds,--,ba,3 days ago,https://www.zillow.com/homedetails/107-Dupont-St-3F-Brooklyn-NY-11222/2072891953_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""107 Dupont St #3f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""107 Dupont St #3F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.736022,""longitude"":-73.955858},""url"":""https://www.zillow.com/homedetails/107-Dupont-St-3F-Brooklyn-NY-11222/2072891953_zpid/""}",LISTING BY: HIGHLINE RESIDENTIAL,1.5,--,sqft,#NAME?,Save this home
"67 Java St, Brooklyn, NY","$2,350+",2 bds,,,3 days ago,https://www.zillow.com/b/67-java-st-brooklyn-ny-97cnhW/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"156 Calyer St #4LL, Brooklyn, NY 11222","$2,600/mo",bds,2,ba,3 days ago,https://www.zillow.com/homedetails/156-Calyer-St-4LL-Brooklyn-NY-11222/2072895758_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""156 Calyer St #4ll, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""156 Calyer St #4LL"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727606,""longitude"":-73.954157},""url"":""https://www.zillow.com/homedetails/156-Calyer-St-4LL-Brooklyn-NY-11222/2072895758_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (570-350-5670),1,--,sqft,#NAME?,Save this home
"44 Kent St, Brooklyn, NY","$3,000 ",1 bd,"$2,999 ",2 bds,3 days ago,https://www.zillow.com/b/44-kent-st-brooklyn-ny-97cn4R/,https://photos.zillowstatic.com/fp/9a29a48e3e17be1c1305fc338f7395f8-p_e.jpg,,,,,,,
"538 Graham Ave APT 2R, Brooklyn, NY 11222","$2,490/mo",bd,1,ba,4 days ago,https://www.zillow.com/homedetails/538-Graham-Ave-APT-2R-Brooklyn-NY-11222/2102599325_zpid/,https://photos.zillowstatic.com/fp/b15f6f928bb1d030672835194f0a048c-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""538 Graham Ave Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""538 Graham Ave APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721393,""longitude"":-73.946699},""url"":""https://www.zillow.com/homedetails/538-Graham-Ave-APT-2R-Brooklyn-NY-11222/2102599325_zpid/""}",LISTING BY: COMPASS,1,--,sqft,#NAME?,Save this home
"203 Kent St APT 3, Brooklyn, NY 11222","$2,985/mo",bds,3,ba,4 days ago,https://www.zillow.com/homedetails/203-Kent-St-APT-3-Brooklyn-NY-11222/2072912294_zpid/,https://photos.zillowstatic.com/fp/22818b3d5bcdad46daea0d1b33f098f3-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""203 Kent St Apt 3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,025""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""203 Kent St APT 3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.731289,""longitude"":-73.952607},""url"":""https://www.zillow.com/homedetails/203-Kent-St-APT-3-Brooklyn-NY-11222/2072912294_zpid/""}",LISTING BY: DOUGLAS ELLIMAN (917-300-1902),2,"1,025",sqft,#NAME?,Save this home
"104 Kent St #2A, Brooklyn, NY 11222","$2,950/mo",bd,1,ba,5 days ago,https://www.zillow.com/homedetails/104-Kent-St-2A-Brooklyn-NY-11222/2072930736_zpid/,https://photos.zillowstatic.com/fp/2c08daa882d48daf5114c14d2a50bb7c-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""104 Kent St #2a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""104 Kent St #2A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730459,""longitude"":-73.956862},""url"":""https://www.zillow.com/homedetails/104-Kent-St-2A-Brooklyn-NY-11222/2072930736_zpid/""}",LISTING BY: GREENPOINT PROPERTIES (347-244-4239),1,700,sqft,#NAME?,Save this home
"226 Kingsland Ave APT 3L, Brooklyn, NY 11222","$1,850/mo",bd,1,ba,5 days ago,https://www.zillow.com/homedetails/226-Kingsland-Ave-APT-3L-Brooklyn-NY-11222/2080975068_zpid/,https://photos.zillowstatic.com/fp/8a48a9913953b11ddba7c76f8bfe1ff7-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""226 Kingsland Ave Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""226 Kingsland Ave APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724528,""longitude"":-73.941159},""url"":""https://www.zillow.com/homedetails/226-Kingsland-Ave-APT-3L-Brooklyn-NY-11222/2080975068_zpid/""}",LISTING BY: DOUGLAS ELLIMAN (718-486-4491),1,900,sqft,#NAME?,Save this home
"544 Manhattan Ave APT 4D, Brooklyn, NY 11222","$2,850/mo",bd,1,ba,5 days ago,https://www.zillow.com/homedetails/544-Manhattan-Ave-APT-4D-Brooklyn-NY-11222/2090250622_zpid/,https://photos.zillowstatic.com/fp/e7d8f970cd0f6eec95d965287054a9a3-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""544 Manhattan Ave Apt 4d, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""544 Manhattan Ave APT 4D"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722025,""longitude"":-73.949289},""url"":""https://www.zillow.com/homedetails/544-Manhattan-Ave-APT-4D-Brooklyn-NY-11222/2090250622_zpid/""}",LISTING BY: BROOKLYN PROPERTIES,1,--,sqft,#NAME?,Save this home
"276 Nassau Ave #11B, Brooklyn, NY 11222","$1,825/mo",bd,1,ba,5 days ago,https://www.zillow.com/homedetails/276-Nassau-Ave-11B-Brooklyn-NY-11222/2072974171_zpid/,https://photos.zillowstatic.com/fp/fef4536f25c31a0a6195438b5a72dbec-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""276 Nassau Ave #11b, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""276 Nassau Ave #11B"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725959,""longitude"":-73.939944},""url"":""https://www.zillow.com/homedetails/276-Nassau-Ave-11B-Brooklyn-NY-11222/2072974171_zpid/""}",LISTING BY: GOTHAM RENTALS & SALES LLC,1,--,sqft,#NAME?,Save this home
"248 Driggs Ave, Brooklyn, NY","$2,949+",2 bds,,,6 days ago,https://www.zillow.com/b/248-driggs-ave-brooklyn-ny-3nmf/,https://photos.zillowstatic.com/fp/92503225343cf52dcc2352a7b1b4cb6c-p_e.jpg,,,,,,,
"181 Engert Ave #3L, Brooklyn, NY 11222","$1,750/mo",bd,1,ba,Open: Thu. 2-3:30pm,https://www.zillow.com/homedetails/181-Engert-Ave-3L-Brooklyn-NY-11222/2072981787_zpid/,https://photos.zillowstatic.com/fp/1151ecf10cb650a6c13d7ebc0430aef2-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""181 Engert Ave #3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""181 Engert Ave #3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722065,""longitude"":-73.942813},""url"":""https://www.zillow.com/homedetails/181-Engert-Ave-3L-Brooklyn-NY-11222/2072981787_zpid/""}",LISTING BY: NOOKLYN.COM LLC (516-306-7035),1,--,sqft,#NAME?,Save this home
"153 Freeman St APT 3R, Brooklyn, NY 11222","$1,700/mo",bd,1,ba,6 days ago,https://www.zillow.com/homedetails/153-Freeman-St-APT-3R-Brooklyn-NY-11222/2073003063_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""153 Freeman St Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""153 Freeman St APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734598,""longitude"":-73.955719},""url"":""https://www.zillow.com/homedetails/153-Freeman-St-APT-3R-Brooklyn-NY-11222/2073003063_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,--,sqft,#NAME?,Save this home
"737 Meeker Ave #3F, Brooklyn, NY 11222","$3,200/mo",bds,5,ba,6 days ago,https://www.zillow.com/homedetails/737-Meeker-Ave-3F-Brooklyn-NY-11222/2073005377_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""737 Meeker Ave #3f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""737 Meeker Ave #3F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723889,""longitude"":-73.938791},""url"":""https://www.zillow.com/homedetails/737-Meeker-Ave-3F-Brooklyn-NY-11222/2073005377_zpid/""}",LISTING BY: URBAN PADS (914-980-1330),2,--,sqft,#NAME?,Save this home
"30 Driggs Ave, Brooklyn, NY","$2,658+",2 bds,,,6 days ago,https://www.zillow.com/b/30-driggs-ave-brooklyn-ny-3ny5/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"123 Calyer St #2, Brooklyn, NY 11222","$2,499/mo",bds,2,ba,6 days ago,https://www.zillow.com/homedetails/123-Calyer-St-2-Brooklyn-NY-11222/2102580861_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""123 Calyer St #2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""123 Calyer St #2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727361,""longitude"":-73.956319},""url"":""https://www.zillow.com/homedetails/123-Calyer-St-2-Brooklyn-NY-11222/2102580861_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (347-237-7007),1,"1,000",sqft,#NAME?,Save this home
"303 Kingsland Ave #2A, Brooklyn, NY 11222","$2,600/mo",bds,3,ba,6 days ago,https://www.zillow.com/homedetails/303-Kingsland-Ave-2A-Brooklyn-NY-11222/2073010014_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""303 Kingsland Ave #2a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""303 Kingsland Ave #2A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726966,""longitude"":-73.94217},""url"":""https://www.zillow.com/homedetails/303-Kingsland-Ave-2A-Brooklyn-NY-11222/2073010014_zpid/""}",LISTING BY: NOOKLYN.COM LLC (914-489-8885),1.5,--,sqft,#NAME?,Save this home
"555 Graham Ave APT 1A, Brooklyn, NY 11222","$3,400/mo",bds,2,ba,6 days ago,https://www.zillow.com/homedetails/555-Graham-Ave-APT-1A-Brooklyn-NY-11222/2073010030_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""555 Graham Ave Apt 1a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""555 Graham Ave APT 1A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722066,""longitude"":-73.947505},""url"":""https://www.zillow.com/homedetails/555-Graham-Ave-APT-1A-Brooklyn-NY-11222/2073010030_zpid/""}",LISTING BY: NOOKLYN.COM LLC (702-358-8211),3.5,--,sqft,#NAME?,Save this home
"100 India St APT 2R, Brooklyn, NY 11222","$2,999/mo",bds,3,ba,6 days ago,https://www.zillow.com/homedetails/100-India-St-APT-2R-Brooklyn-NY-11222/2101366066_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""100 India St Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""980""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""100 India St APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.731948,""longitude"":-73.956312},""url"":""https://www.zillow.com/homedetails/100-India-St-APT-2R-Brooklyn-NY-11222/2101366066_zpid/""}",LISTING BY: EXIT ALL SEASONS REALTY,1,980,sqft,#NAME?,Save this home
"929 Lorimer St, Brooklyn, NY","$2,500+",1 bd,,,6 days ago,https://www.zillow.com/b/929-lorimer-st-brooklyn-ny-3nNG/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"203 Norman Ave APT 5, Brooklyn, NY 11222","$2,410/mo",bds,2,ba,6 days ago,https://www.zillow.com/homedetails/203-Norman-Ave-APT-5-Brooklyn-NY-11222/2087962577_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""203 Norman Ave Apt 5, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""203 Norman Ave APT 5"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727508,""longitude"":-73.946199},""url"":""https://www.zillow.com/homedetails/203-Norman-Ave-APT-5-Brooklyn-NY-11222/2087962577_zpid/""}",LISTING BY: DOUGLAS ELLIMAN (718-486-4491),1,--,sqft,#NAME?,Save this home
